ID	Area	Title	Description
735	area-Infrastructure	NativeServiceTest fails to build with /p:OS=Unix	"When running the following command from the root of my corefx repo:  ``` build /t:rebuild /p:SkipTests=true /p:OS=Unix ```  I consistently get the following error towards the end of the build:  ``` C:\Program Files (x86)\MSBuild\Microsoft.Cpp\v4.0\V140\Microsoft.Cpp.Platform.targets(57,5):  error MSB8020: The build tools for v120 (Platform Toolset = 'v120') cannot be found.  To build using the v120 build tools, please install v120 build tools.   Alternatively, you may upgrade to the current Visual Studio tools by selecting the  Project menu or right-click the solution, and then selecting ""Retarget solution"".  [\src\System.ServiceProcess.ServiceController\tests\NativeTestService\NativeTestService.vcxproj] ```  I have VS2015 CTP 5 installed.  I don't have VS2013 installed.  (We don't actually need this Windows-only test project to build when building with OS=Unix, if that's the source of the problem.) "
736	area-System.IO	Use lseek instead of lseek64 in Unix I/O	As part of this, changed interop definitions of off_t to be Int64 rather than IntPtr.  For now we're assuming that we'll run either on 64-bit systems and/or where _FILE_OFFSET_BITS == 64.  We can revisit this if that assumption fails.  Fixes #733 
738	area-System.Runtime	Add more tests around Enum.TryParse	
743	area-Infrastructure	Feature: Need to create a solution for building localized binaries	We need to come up with a solution to enable building localized binaries as well as taking contributions to localized content. 
744	area-Infrastructure	Top level bin\ output folder has become cluttered with overly generic names	"Many of the files below are specific to a given library's tests, but there is no convention to identify them as such. e.g. 'Assembly1' is specific to FileVersionInfo tests and 'ModuleCore' is for Xml. We should either: 1. Rename all test assemblies to include a prefix matching their parent. 2. Create a hierarchical structure in bin\   I think 1 would be better as it would also make the build log easier to understand.  I also question whether we even need so many test assemblies, especially in the XML case.  `` D:\Src\corefx\bin\Debug>dir /b \* | findstr /v ""System"" | findstr /v ""Microsoft"" Assembly1 Axes.Tests BaseLibManaged Events.Tests MemoryMappedFile.Tests MemoryMappedViewAccessor.Tests MemoryMappedViewStream.Tests Misc.Tests ModuleCore NativeTestService ProcessTest_ConsoleApp Properties.Tests SDMSample.Tests Streaming.Tests TreeManipulation.Tests XDocument.Common XDocument.Test.ModuleCore XmlCoreTest XmlDiff xNodeBuilder.Tests xNodeReader.Tests XunitTraitsDiscoverers  ``` ``` "
745	area-Infrastructure	Many solutions fail to build in VS without a full build.cmd first	The culprit in most cases is a missing project reference to XunitTraitsDiscoverers. VS needs the targets of project references to be in the scope of the current solution. While we could go and add this project everywhere, I think it will clutter the solutions. A better approach might be to use shared source files that we pull in the test targets/props. 
746	area-Infrastructure	The top-level src/ folder is cluttered with all of those .slns	"IMHO, each library should have its sln file within its own folder.   Instead of  ``` src\     System.Xyz\     System.Xyz.sln ```  We should have  ``` src\     System.Xyz\           System.Xyz.sln ```  I believe the reasons why we had the former originally are obsolete now.  1) We liked the idea of grouping related libraries together in a solution. Today, only System.Xml.\* does this. However, it will not really work long-term because we shouldn't have library-to-library project-to-project references as it messes with our package versioning story post-V1.  2) We had problems with redundant packages/ folders. I believe this was solved by the NuGet.config change that moved packages to a folder at the root outside of src  <!--- @huboard:{""order"":919.4375,""milestone_order"":746,""custom_state"":""""} --> "
754	area-System.Collections	Simplify and modernize System.Collections tests	The System.Collections tests were mechanically ported from existing test assets using a different test framework.  Some of the tests also include misleading comments, and complication and obfuscation relating to constraints at the time they were written. 
758	area-Infrastructure	BuildPackages target fails because GetPackageVersion needs a version number	"BuildPackages target is broken currently because GetPackageVersion requires more than we are currently setting in corefx repo right now. Luckily (:)) we had another bug that prevented this target from running on clean builds so not many people have hit it yet including our CI system. I'm fixing the other bug however I'm going to disable BuildPackages for now until we get this fixed.  Task ""GetPackageVersion"" (TaskId:2)   Task Parameter:NuSpecFile=D:\git\corefx\src\nuget\Microsoft.Bcl.Immutable.nuspec (TaskId:2) D:\git\corefx\packages\Microsoft.DotNet.BuildTools.1.0.25-prerelease-4\lib\packages.targets(62,5): error MSB4044: The ""GetPackageVersion"" task was not given a value for the required parameter ""DailyBuildNumber"". "
759	area-Infrastructure	Incremental build tweaks	Update Clean target to no longer delete PackagesDir, to address #529.   Fixed an issue with the _RestoreBuildTools target where we sometimes get into a never ending running of that target in cases where your dir.props or pacakges.config is newer than the tools. This showed its head while I had edits to that file and was no longer cleaning my Packages directory. To address I always ensure the outputs are newer by touching them at the end of the target whenever it is ran.  Also realized that our BuildPackages target was not being run any longer on clean builds and only on incremental builds. This showed that it is recently broken by the latest build tools update and I filed #758 for that but for now I'm disabling the building of the packaging. I also started importing dir.targets in build.proj so the tools were restored in time for them to be used in src\dir.proj even on clean builds. 
765	area-Infrastructure	Add daily build number to NuGet packages and fix package versioning.	This is to address issue #758.  This change adds BuildNumber.props containing the daily build number property that's consumed by the package build infrastructure.  Updated package versions for Immutable and Metadata based on the values of the daily building packages.  The values have a build number one greater than the last build.  Deleted all nuspec files for non-shipping packages. 
770	area-Infrastructure	Make XunitTraitDiscoverers as a part of the custom Xunit.	Inorder to skip tests and other xunit functionality, the projects require an extra project reference to XunitTraitDiscoverers. Making this a part of the netcore xunit will be good. It's basically an extension on Xunit functionalities, and we should merge these two projects.  
774	area-Infrastructure	Add System.Threading to packages.config in test projects	"This would otherwise make the Mono mcs compiler fail with: ""error CS0518: The predefined type `System.Threading.Interlocked' is defined in an assembly that is not referenced.""  It's the same change as in https://github.com/dotnet/corefx/pull/328 "
775	area-Infrastructure	Use xunit netcore package in XunitTraitsDiscoverers	XunitTraitsDiscoverers used the original xunit.abstractions and xunit.core packages instead of the netcore version. This causes a problem like https://github.com/dotnet/buildtools/pull/38 when compiling on Mono due to the unwanted xunit.runner.tdnet.dll 
776	area-Infrastructure	Fix condition in dir.targets	The value passed to Exists() should be enclosed in single quotes according to https://msdn.microsoft.com/en-us/library/7szfhaft.aspx 
777	area-Infrastructure	Move solution files to the appropriate projects folders	fixes #746 
780	area-System.Collections	Immutable collections test failure in CI	An immutable collections test failed in a CI run:  ``` System.Collections.Immutable -> d:\j\workspace\dotnet_corefx_windows_debug_prtest\bin\Windows_NT\Debug\System.Collections.Immutable\System.Collections.Immutable.dll   System.Collections.Immutable.Tests -> d:\j\workspace\dotnet_corefx_windows_debug_prtest\bin\Windows_NT\Debug\System.Collections.Immutable.Tests\System.Collections.Immutable.Tests.dll   xUnit.net console test runner (32-bit .NET Core)   Copyright (C) 2014 Outercurve Foundation.    Discovering: System.Collections.Immutable.Tests   Discovered:  System.Collections.Immutable.Tests   Starting:    System.Collections.Immutable.Tests      System.Collections.Immutable.Test.ImmutableSortedSetTest.EmptyTest [FAIL]         Assert.Same() Failure         Expected: ImmutableSortedSet<Int32> []         Actual:   ImmutableSortedSet<Int32> []         Stack Trace:            d:\j\workspace\dotnet_corefx_windows_debug_prtest\src\System.Collections.Immutable\tests\ImmutableSortedSetTest.cs(354,0): at System.Collections.Immutable.Test.ImmutableSortedSetTest.EmptyTestHelper[T](IImmutableSet`1 emptySet, T value, IComparer`1 comparer)            d:\j\workspace\dotnet_corefx_windows_debug_prtest\src\System.Collections.Immutable\tests\ImmutableSortedSetTest.cs(82,0): at System.Collections.Immutable.Test.ImmutableSortedSetTest.EmptyTest()   Finished:    System.Collections.Immutable.Tests    === TEST EXECUTION SUMMARY ===      System.Collections.Immutable.Tests  Total: 591, Errors: 0, Failed: 1, Skipped: 0, Time: 1.839s ``` 
783	area-Infrastructure	Switch to running tests with new BuildAndTest target.	An attempt to address #679  This change adds a BuildAndTest and Test target to our default dir.targets file and hooks RunTestsForProject off the Test target so that by default if you build an individual project from the command line or in an IDE like VS it will just do the build and not run the tests. If people want to run the tests then they need to execute the BuildAndTest target (or just the Test target). This prevents the need for us to use special conditions like BuildingInsideVisualStudio in our targets.   I've also changed the DefaultTargets for our build.proj and dirs.proj files to be BuildAndTest so if you run the build for them it will stil do the build and test run.  cc @eatdrinksleepcode @nguerrera  
800	area-Infrastructure	Enable code coverage on VS2015 and include more libraries	Two issues: 1) Code coverage doesn't work with VS2015. 2) Several of our libraries are disabled from code coverage.  For the first, the issue turned out to be a failure of the OpenCover code coverage tool to read the PDBs produced by Roslyn.  The library on which the tool depends for PDB reading has been updated to support Roslyn, and a more recent version of OpenCover than the one we're currently using pulls in that updated version of the PDB reader.  As such, the fix is just to upgrade which version of OpenCover we use.  For the second, whatever reason caused us to disable code coverage on several projects appear to have since been addressed, either by us or in the OpenCover update.  The fix then is to just re-enable code coverage on these libraries.  The only library that remains disabled for code coverage is System.Diagnostics.Process.dll.  It's either hanging or just taking a really, really long time (PLINQ takes about 10 minutes, but at least it completes).  Needs more investigation. 
810	area-System.Globalization	Implement System.Globalization.Extensions on Unix	The library has been refactored to have the Unix implementation stubbed out.  It needs to be properly implemented. 
811	area-System.Diagnostics	Implement System.Diagnostics.FileVersionInfo on Unix	The library has been refactored to have the Unix implementation stubbed out.  It should be implemented to the extent that makes sense on Unix. 
817	area-System.IO	Implement System.IO.FileSystem.Watcher for Mac	The Linux implementation uses inotify, which is Linux-specific.  We'll need a different implementation for Mac, such as one based on FAM, kqueue, or FSEvents. 
818	area-Infrastructure	Update solutions/projects with OS-specific configs	For projects that have OS-specific implementations, this change modifies their solution and project files to create OS-specific configurations. Rather than just having a Debug or Release option, in Visual Studio a developer can now select OS_Debug or OS_Release, e.g. for a project that has a Windows implementation and a Unix implementation, Windows_Debug, Windows_Release, Unix_Debug, and Unix_Release will all be available options.  Changing the configuration will update the properties used to configure conditional includes, build outputs, etc.  cc: @mmitche, @AArnott.  Andrew, please let me know if there's a better way to achieve this. 
820	area-Infrastructure	Run compliance tool against Project K	"<!--- @huboard:{""order"":713.9375,""milestone_order"":820,""custom_state"":""""} --> "
821	area-Infrastructure	Collect telemetry from test runs	
822	area-Infrastructure	Auto upload packages to nuget/myget	
823	area-Infrastructure	Strategy for test hooks/mocks that works everywhere	
824	area-Infrastructure	Contract Generation	
825	area-Infrastructure	Runtime Facade Generation	
826	area-System.IO	Open Source ClrCompression.dll	
838	area-Infrastructure	Dashboard: Caclulate product confidence from test and code coverage data.	"<!--- @huboard:{""order"":838.0,""milestone_order"":838,""custom_state"":""""} --> "
839	area-Infrastructure	enable perf and stress infrastructure	
840	area-Infrastructure	Align ToF and xunit reporting	"<!--- @huboard:{""order"":534.75} --> "
841	area-Infrastructure	Run OuterLoop tests on officially built binaries	"<!--- @huboard:{""order"":623.875} --> "
846	area-System.Globalization	Cross Platform System.Globalization	"This a meta-workitem tracking a bunch of smaller stuff, now that we have multiple folks working on this stuff concurrently. - [x] TimeZone - [x] Encodings (#2774) - [x] Collation (#2769) - [x] Casing (#2772) - [x] Locales (#2770) - [x] Calendars (#2773)  <!--- @huboard:{""order"":89.125} --> "
864	area-System.Reflection	Open Source System.Reflection.Primitives Tests	
875	area-Infrastructure	OS-independent libraries should be built to an OS-independent folder	Once #818 gets merged, we should refactor how our binaries are built to output paths.  Libraries that have no direct OS-dependencies and do not have an OS-specific build should go into a neutral folder, and libraries that have OS-specific builds should go into an OS-specific folder. 
880	area-Microsoft.CSharp	Open Source Microsoft.CSharp.dll	
882	area-System.Net	Open Source Networking.dll	
891	area-System.Net	Open Source System.Net.Http.dll	
892	area-System.Net	Open Source System.Net.Http.WinHttpHandler.dll	
893	area-System.Net	Open Source System.Net.NameResolution.dll	
894	area-System.Net	Open Source System.Net.NetworkInformation.dll	
895	area-System.Net	Open Source System.Net.Primitives.dll	
896	area-System.Net	Open Source System.Net.Sockets.dll	
897	area-System.Net	Open Source System.Net.Utilities.dll	
912	area-Infrastructure	Update properties in dir.props to make them more consistent	Used some msbuild string functions to help eliminate some of the duplications around OS/OSGroup/ConfigurationGroup.  Explicitly started defining all the needed properties by build tools in a consistent way so the build upon each other.  Restructured the output paths a little to eliminate many nested directories.  Binaries:   $(OS).$(Platform).$(Configuration)\$(MSBuildProjectName)\ Intermediates:   obj\$(OS).$(Platform).$(Configuration)\$(MSBuildProjectName)\ Tests:   tests\$(OS).$(Platform).$(Configuration)\$(MSBuildProjectName)\ 
914	area-System.Text	Write a test for GetGroup never returning Empty Group	We merged #253 without a corresponding test.  We need to write one. 
915	area-Meta	Remove uses of Console.WriteLine in the Unit Tests?	A bunch of our unit tests do `Console.WriteLine` either on regular paths or on error cases.  By my count there's bout 1600 hits for `Console.Write*` in our tests.  This is a bit of an over-count because some of these are the Console tests themselves.  I don't really like this very much.  It feels like something we inherited when porting our legacy test assets.  Is it worthwhile to go clean this up?  I don't mind doing the work, just don't want to put in a bunch of effort if it doesn't stand a chance of getting merged.  I'm sure @nguerrera will be interested in this and my understanding was @davkean had some guidance on how to author and port tests and I'd be interested in understanding how this aligns with his thinking. 
921	area-System.ComponentModel	Improve code coverage for System.ComponentModel.Annotations	According to the current code coverage report, this library is only at 75%.  Our general goal is closer to 90%, though this will depend on the library.  We should investigate to see whether the current coverage level is appropriate, and if not, improve our test suites to provide better coverage. 
930	area-System.Numerics	Improve code coverage for System.Numerics.Vectors	According to the current code coverage report, this library is only at 72%.  Our general goal is closer to 90%, though this will depend on the library.  We should investigate to see whether the current coverage level is appropriate, and if not, improve our test suites to provide better coverage. 
931	area-System.Reflection	Improve code coverage for System.Reflection.Metadata	According to the current code coverage report, this library is only at 51%.  Our general goal is closer to 90%, though this will depend on the library.  We should investigate to see whether the current coverage level is appropriate, and if not, improve our test suites to provide better coverage. 
933	area-System.Text	Improve code coverage for System.Text.Encoding.CodePages (66%)	"According to the current code coverage report, this library is only at 66%.  Our general goal is closer to 90%, though this will depend on the library.  We should investigate to see whether the current coverage level is appropriate, and if not, improve our test suites to provide better coverage.  <!--- @huboard:{""order"":1022.0} --> "
934	area-System.Xml	Improve code coverage for System.Xml.XPath	According to the current code coverage report, this library is only at 51%.  Our general goal is closer to 90%, though this will depend on the library.  We should investigate to see whether the current coverage level is appropriate, and if not, improve our test suites to provide better coverage. 
935	area-System.Xml	Improve code coverage for System.Xml.XPath.XDocument	According to the current code coverage report, this library is only at 54.5%.  Our general goal is closer to 90%, though this will depend on the library.  We should investigate to see whether the current coverage level is appropriate, and if not, improve our test suites to provide better coverage. 
936	area-System.Xml	Improve code coverage for System.Xml.XPath.XmlDocument	According to the current code coverage report, this library is only at 15%! Our general goal is closer to 90%, though this will depend on the library.  We should investigate to see whether the current coverage level is appropriate, and if not, improve our test suites to provide better coverage. 
937	area-System.Xml	Improve code coverage for System.Xml.XmlDocument	According to the current code coverage report, this library is only at 47%.  Our general goal is closer to 90%, though this will depend on the library.  We should investigate to see whether the current coverage level is appropriate, and if not, improve our test suites to provide better coverage. 
942	area-Infrastructure	Failed CI build reported it completed successfully	"PR #917 had a bad P/Invoke declaration that caused a TypeLoadException and a huge number of tests to fail.  But even though the build lists a large number of test failures:  http://dotnet-ci.cloudapp.net/job/dotnet_corefx_prtest/138/#showFailuresLink  the build still shows as green / successful, and GitHub reports ""all is well"". "
956	area-Meta	VS automatically changing solution and csproj	What are your thoughts about VS automatically changing stuff?  I.e: https://github.com/dotnet/corefx/pull/954 VS updated version info. Also it removed new line character in the end of csproj (I removed this this change).  Should we keep that kind of changes or revert them?  I don't have strong opinion on that although I generally think that easier solution is always better: we should not manually change csproj & sln files so if VS wants to change it I would let it. 
957	area-Infrastructure	Dashboard: Hook up official build results.	"<!--- @huboard:{""order"":957.0,""milestone_order"":957,""custom_state"":""""} --> "
961	area-Infrastructure	Add IsInnerLoopTestProject and IsOuterLoopTestProject property support during the build	"Add properties to disable selected projects from Inner- or Outer- loop run. By default all projects are Inner-loop. You can disable it from particular run by explicitly setting TestCategories property  <!--- @huboard:{""order"":843.25,""milestone_order"":961} --> "
962	area-System.Xml	Remove dependency on System.Xml.XPath.XmlDocument from System.Xml.XPath.XDocument tests	"Currently the test is comparing two different implementations of XPath - one of them is assumed ""good"" as there are currently no known bugs to it. I will remove the dependency once it is no longer needed although it is helpful right now since XPath.XDocument has few bugs for investigation and it has proven to be helpful for me (there are few behavioral differences between implementations which we cannot remove now because of compat and that other implementation is helping figure out if this is known compat issue or a code/test defect).  Please remove this dependency once the bugs are fixed.  Related issues: https://github.com/dotnet/corefx/issues/641 https://github.com/dotnet/corefx/issues/284 https://github.com/dotnet/corefx/issues/17 "
963	area-Infrastructure	Support Proxy servers for our nuget download task	See PR #788 where we reverted the fix for #38 because there were some unhanded cases which caused a null reference if the DefaultWebProxy is null. We should add support again with proper checks in place. 
970	area-System.Collections	ReadOnlyObservableCollection.CollectionChanged should be made public	"The `ReadOnlyObservableCollection.CollectionChanged` event is protected, which is flawed, it prevents you from being able to observe changes to it without casting to `INotifyCollectionChanged`.   I suspect the original thinking was because the collection is ""read-only"" it never changes - this is not correct. _Read-only_ in .NET means that the consumer has a read-only view over a collection (which is why we project `IReadOnlyList<T>` to `IVectorView<T>`), not that the contents are immutable and never change.  While we've made `protected` members `public` in the past (such as `Exception.HResult`), this event was marked `virtual`, which while binary compatible, would be a source-breaking change for those that overrode it. I suspect very little have overridden it, but we may want to consider adding a new event with a different name such as `Changed`. "
972	area-System.IO	Fix for Issue #587 - Untangle FileStream's async implementation	Fix for Issue #587 - Untangle FileStream's async implementation  This removes the need for the old Begin\End methods in Win32FileStream by modifying the wrapper around the Overlapped (Win32FileStream.FileStreamAsyncResult) to use a TaskCompletionSource, thus allowing the core Read\Write methods to return Tasks directly.  It also fixes a potential race condition where Begin\* may be registering the cancellation at the same time that End\* is trying to dispose it (if the user called the End\* method from the callback that they provided to the Begin\* method). 
973	area-Meta	.NET Core + Existing Platforms - What Can We Expect?	I found myself watching a discussion between @davkean and @onovotny go down [[start here](https://twitter.com/davkean/status/568636866053812224)] to better understand where .NET Core sits relative to existing platforms.  Because 140 characters is a terrible medium, let's keep this going here.  I'm still looking at supporting Windows 7 users for a while at least, so I'm curious what options are available around continuing to build Portable Class Libraries (the plans here seem to be that referencing other NuGet packages is how you can access additional BCL functionality in the future - correct me if I'm wrong) over targeting .NET Core directly.   What do we gain? What do we lose? And what expectations should we have in the short-term? 
975	area-System.Runtime	Fill System.Runtime.Extensions test gaps	The initial merge of System.Runtime.Extensions tests (#802) included tests which we were running internally that were marked as covering the System.Runtime.Extensions contract.  That set of tests does not cover all the types in the contract.  We should add tests to cover the rest of this contract. 
978	area-Infrastructure	Dashboard: Enable User specific layouts and configs.	"https://github.com/benjamine/jsondiffpatch can be used to greate user specific patch data to modify the global freeboard state.  <!--- @huboard:{""order"":1039.0,""milestone_order"":978,""custom_state"":""""} --> "
980	area-Infrastructure	System.ObjectModel code coverage is failing	=== TEST EXECUTION SUMMARY ===      System.ObjectModel.Tests  Total: 53, Errors: 0, Failed: 0, Skipped: 0, Time: 0.340s   Committing...   No results, this could be for a number of reasons. The most common reasons are:       1) missing PDBs for the assemblies that match the filter please review the       output file and refer to the Usage guide (Usage.rtf) about filters.       2) the profiler may not be registered correctly, please refer to the Usage       guide and the -register switch. 
984	area-System.IO	SerialPort Support on Windows	Just wondering if SerialPort namespace will be included at some point?    --------------------------------------------------------------------    ### Execution plan    - [x] 1. @JeremyKuhne to seed the sources in CoreFX (from full .NET Framework) - add source code (sanitized, with licenses), the source won't build  - [x] 2. Make the code build      * CC: @JeremyKuhne @karelz on PRs      * Note: We will not take any functional changes to the implementation, architecture, or API surface at this point unless they are absolutely necessary to make the code compile on .NET Core. Please give heads up on this issue as soon as you discover cases like that.  - [x] 3. Add tests - tracking progress in #15752      - [x] @JeremyKuhne to find out if we can leverage full .NET Framework tests      * We need to design the test environment - we need ability to test the code in CI (ideally without heavy modification of CI machines)      * We need to set goal for code coverage    If anyone is working on any step, please mention it & coordinate here to avoid duplicated effort. @karelz will co-assign the issue to you as well.
987	area-System.Reflection	MetadataReader ReadFile fast path does not work with async file streams	When a FileStream is opened with isAsync: true (.NET Core default!), the ReadFile P/Invoke code that we have in the metadata reader to read small files straight to native memory. ReadFile fails with invalid param error code because our handle was opened for overlapped IO.  For now, I'm changing the code to be more defensive and always fall back to the slow file -> managed heap -> native heap code path. (It currently throws.)  @ericstj: Can you help me figure out how to tweak FileStreamReadLightUp.cs to handle this?  Also, @tmat has already mentioned to me that this code path will slow us down on Linux and Mac. Perhaps, this is the right opportunity to define a portable FileStream.Read overload that reads to unmanaged memory?  
991	area-Infrastructure	Enable code coverage report generation for individual projects	If we run a subset of the projects for code coverage, we should still generate a report. 
992	area-System.Numerics	Consider saturated arithmetic functionality for Vector<T>	In the past, we've seen some requests for Vector<T> to provide some means to do saturated arithmetic operations. Such operations could be useful for a variety of applications, like signal processing, image processing, etc. It makes sense to at least investigate what such functionality would look like, how it could be exposed, etc. Given that there are also SSE2+ instructions that expose some level of saturated arithmetic, I'm hopeful that we could also get some baseline hardware-instruction support for this.  Work to do: - Define API surface exposed (which operations are supported) - Define which types support these operations (which integral types? all?) - Determine which operations could benefit from SIMD instructions - Create a simple working prototype (without hardware instructions) - Create formal API design speclet 
993	area-System.Numerics	Consider generic support for Shuffle and Shift operations on Vector<T>	Two useful operations that we have long-considered adding to Vector<T> are shuffle and shift. These are pretty fundamental operations that low-level algorithms could very often take advantage of. One of the challenges was developing a generic but straightforward interface for utilizing such operations across all of the (integral) numeric types that Vector<T> supports.  Work to be done: - Define which operations are supported (shuffle at a minimum) - Determine which operations could benefit from SIMD instructions   - These should be able to benefit greatly - Create a simple working prototype (without hardware instructions) - Create formal API design speclet and follow regular procedure 
996	area-Infrastructure	Dashboard: Add page to show test failures for specific area.	"<!--- @huboard:{""order"":839.0,""milestone_order"":996,""custom_state"":""""} --> "
998	area-Infrastructure	Dashboard: Make Bug Id link open in new window.	"<!--- @huboard:{""order"":909.5,""milestone_order"":998,""custom_state"":""""} --> "
999	area-System.Runtime	Add back Environment.Is64BitXXX	Hi all. There are some methods that aren't yet implemented in Environment class. - Is64BitProcess - Is64BitOperatingSystem - OSVersion  Will they be implemented? 
1000	area-System.Diagnostics	Several Dataflow ETW events aren't firing due to MethodAccessExceptions	Several System.Threading.Tasks.Dataflow ETW events aren't firing on .NET Core, due to what looks like private reflection issues: MethodAccessExceptions are getting thrown and swallowed when firing these events. 
1006	area-System.Net	Add SmtpClient support	Is there any plans to add `System.Net.Mail` into aspnetcore50? 
1008	area-System.Numerics	Faster and/or vectorized sin/cos	In certain types of applications, the extra precision and correctness afforded by Math.Sin() and Math.Cos() are not worth the performance penalty they impose. These applications are often already using primarily single precision floats for computations, and thus have to round trip through double to make use of these methods. I propose adding a FastMath or Mathf or similar set of methods for lower precision high performance implementations of these methods.  If it were not for the existence of System.Numerics.Vectors, I would advocate that these simply be an external library separate from the core framework, but since the vector math library ships Quaternion and Matrix support, I would vastly prefer that these types make use of the faster math operations for things like calculating rotations. My reasoning is that these types exist in the first place for people concerned with performance, and as it stands they're simply too slow compared to the alternatives for them to see much use.  For a practical anecdote, I recently wrote an OpenGL draw call stress test to determine CPU overhead and how many draw calls I can push from my .NET app. By far the biggest consumer of frame time was Sin and Cos inside the quaternion rotation method used to rotate the cubes I was rendering. Using a fully managed implementation of SinCos based on the venerable CEPHES library cut that time roughly in half. This could be further extended by vectorizing with SIMD, provided that the Vector types support a few more intrinsics such as shuffle.  I wouldn't mind doing this work if people think it would be useful. My main concern is that shipping System.Numerics.Vectors (quaternions and matrices) without these faster math routines will forever doom them to obscurity, since switching to reduced precision operations in the future would be a breaking change. 
1009	area-Infrastructure	Error message in System.ServiceProcess.ServiceController when building from VS2015 DevCmd	When building using Developer Command from VS 2015 I get following error message: (build doesn't fail though - jut red message)  ```   NativeTestService.cpp cl : Command line error D8027: cannot execute 'C:\Program Files (x86)\Microsoft Visual Studio 14.0\VC\bin\c1xx.dll' [E:\oss\corefx\src\System.ServiceProcess.ServiceController\tests\NativeTestService\NativeTestService.vcxproj] ```  It doesn't repro on VS 2013 DevCmd. 
1010	area-System.Numerics	Add support for extracting a bit mask from a Vector<T>	SSE2/AVX supports extracting the MSB from each 8 byte,4 byte,2 byte or 1 byte segment (the `movemask_*` family). This can be extremely useful while performing algorithms that are data sensitive and use SSE registers like big buffers.   A user could implement algorithms that work entirely in safe code that could benefit from avoiding the allocation and rigmarole of copying data out of a register to an array when you just want to test if a field is not empty.   Admittedly, it is a downer as ARM does not have an intrinsic for this operation but there is workarounds that should perform better than copying everything in and out memory to test the bytes. http://stackoverflow.com/questions/11870910/sse-mm-movemask-epi8-equivalent-method-for-arm-neon 
1016	area-System.Xml	Update the XElement implementation in System.Xml.XDocument to include XmlSchemaProvider attribute once the packages are refreshed.	
1019	area-Meta	Consider adding Disposables	[Reactive Extensions](https://github.com/Reactive-Extensions/Rx.NET/tree/master/Rx.NET/Source/System.Reactive.Core/Reactive/Disposables) and [System.Threading.Tasks.Dataflow](https://github.com/dotnet/corefx/blob/master/src/System.Threading.Tasks.Dataflow/src/Internal/ActionOnDispose.cs) are using their own internal Disposables. I don't know how many people have written similar APIs too. We also use our own disposables to run actions. This is very helpful for types implementing IObservable<T> and types used within a `using`-statement.  I think CoreFX is the right place to offer a small common API for disposables. What are your thoughts? 
1021	area-Infrastructure	Improving test coverage and relevance: investigate tools for code dependencies.	Investigate tools that will show the dependencies between code and tests. This will allow us to only run the relevant set of tests related to new changes. 
1022	area-Infrastructure	MSBuild consistency in casing boolean properties	"MSBuild properties are case sensitive. The ""false""/""true"" vs ""False""/""True""  What do we prefer?  It looks like we don't have any standards with this and I saw various places in the targets which mix two different casings even for the same properties.  I believe we should unify this  Examples: src\System.Collections.Immutable\src\System.Collections.Immutable.csproj (lowercase):  ```   <PropertyGroup Condition="" '$(Configuration)|$(Platform)' == 'Debug|AnyCPU' "">     <DebugSymbols>true</DebugSymbols>     <DebugType>full</DebugType>     <Optimize>false</Optimize>     <DefineConstants>DEBUG;TRACE</DefineConstants>     <ErrorReport>prompt</ErrorReport>     <WarningLevel>4</WarningLevel>     <Prefer32Bit>false</Prefer32Bit>     <CodeAnalysisRuleSet>System.Collections.Immutable.ruleset</CodeAnalysisRuleSet>   </PropertyGroup> ```  and the same project in the bottom:  ```     <Compile Include=""Strings.Designer.cs"">       <AutoGen>True</AutoGen>       <DesignTime>True</DesignTime>       <DependentUpon>Strings.resx</DependentUpon>     </Compile> ```  src\dirs.targets: (Look at the IsTestProject property and CLSCompliant condition): https://github.com/dotnet/corefx/blob/master/src/dir.targets#L94  ```  <PropertyGroup> <IsTestProject Condition=""'$(IsTestProject)'=='' And $(MSBuildProjectName.EndsWith('.Tests'))"">True</IsTestProject> <RunTestsForProject Condition=""'$(RunTestsForProject)'=='' and '$(IsTestProject)'=='True'"">True</RunTestsForProject> <RunTestsForProject Condition=""'$(SkipTests)'=='True'"">False</RunTestsForProject> <CLSCompliant Condition=""'$(IsTestProject)'=='true'"">false</CLSCompliant> </PropertyGroup> ``` "
1033	area-System.Reflection	Delimiter list in the type name grammer was incorrect	"Duplicated ""*"" in the delimiter list, it should be ""\"".  See Tokenizer.HandleEscapeSequence for more information. "
1034	area-Meta	Update Developer Wiki with new section on Code Coverage	The developer guide wiki (https://github.com/dotnet/corefx/wiki/Developer-Guide) should have a section on the code coverage system - including how to manually run the coverage build and generate a new report. 
1037	area-System.Diagnostics	Investigate why Assert went out of it's way to call MessageBox on a different thread	There's some internal history on why this decision was made that @stephentoub and I both don't fully grok.  I need to take the time and understand if this is still something we need to be doing and why it only mattered for CoreCLR and not desktop at the time.  Once that's done, something like #1012 might be in order. 
1039	area-Meta	Why is DataTable/View/Set absent?	I looked here: https://github.com/dotnet/corefx-progress and saw DataTable/View/Set isn't ported to .NET Core. IMHO this is a mistake, as DataTable and friends are a convenient way to handle untyped data at runtime, and is e.g. often used when fetching data through stored procedures as it's easy to e.g. fetch a dataset with the result of a proc which returns 3 cursors on e.g. Oracle.   I fail to see why this cornerstone of many people's data-access code is absent in a framework that targets servers.  
